Location,Rate (WB),Year,Rate (ITU),Year.1,Users (CIA),Year.2,Notes
World,67.4,2023,67.4,2023,,,
Afghanistan,18.4,2020,17.6,2019,7020000,2020,
Albania,83.1,2023,83.1,2023,2291000,2021,
Algeria,71.2,2022,71.2,2022,31240000,2021,
American Samoa,,,,,18135,2021,
Andorra,94.5,2022,94.5,2022,74260,2021,
Angola,39.3,2022,39.3,2022,11550000,2021,
Anguilla,,,81.6,2016,13056,2021,
Antigua and Barbuda,91.4,2022,91.4,2022,89280,2021,
Argentina,89.2,2023,89.2,2023,39150000,2021,
Armenia,78.6,2021,77,2022,2212000,2021,
Aruba,97.2,2017,97.2,2017,106800,2021,
Australia,95,2021,94.9,2022,24960000,2021,
Austria,95.3,2023,95.3,2023,8277000,2021,
Azerbaijan,88,2022,88,2022,8600000,2021,
Bahamas,94.4,2022,94.4,2022,385400,2021,
Bahrain,100,2021,100,2023,1500000,2021,
Bangladesh,44.5,2023,44.5,2023,66300000,2021,
Barbados,76.2,2022,76.2,2022,240800,2021,
Belarus,91.5,2023,91.5,2023,8352000,2021,
Belgium,94.6,2023,94.6,2023,10920000,2021,
Belize,70.4,2022,70.4,2022,248000,2021,
Benin,33.8,2022,33.8,2022,4420000,2021,
Bermuda,98.4,2017,98.4,2017,64000,2021,
Bhutan,86.8,2022,86.8,2022,670800,2021,
Bolivia,73.3,2022,73.3,2022,7920000,2021,
Bosnia and Herzegovina,83.4,2023,83.4,2023,2508000,2021,
Botswana,77.3,2022,77.3,2022,1924000,2021,
Brazil,84.2,2023,84.2,2023,170100000,2021,
British Virgin Islands,77.7,2016,77.7,2017,24087,2021,
Brunei,99,2022,99,2022,441000,2021,
Bulgaria,80.4,2023,80.4,2023,5175000,2021,
Burkina Faso,19.9,2022,19.9,2022,4840000,2021,
Burundi,11.3,2022,11.3,2022,754000,2021,
Cambodia,56.7,2022,56.7,2022,10200000,2021,
Cameroon,43.9,2022,43.9,2022,12420000,2021,
Canada,94.6,2018,94,2022,35340000,2021,
Cape Verde,72.1,2022,72.1,2022,413000,2021,
Cayman Islands,81.1,2017,81.1,2017,55148,2021,
Central African Republic,10.6,2021,7.5,2019,605000,2021,
Chad,12.2,2022,12.2,2022,3060000,2021,
Chile,94.1,2023,94.1,2023,17100000,2021,
China,77.5,2023,77.5,2023,1022000000,2021,
Christmas Island,,,,,1139,2021,
Cocos (Keeling) Islands,,,,,80,2021,
Colombia,73,2021,72.8,2022,37960000,2021,
Comoros,27.3,2021,16.4,2019,221400,2021,
Cook Islands,,,54,2016,11382,2021,
Costa Rica,85.1,2023,85.1,2023,4316000,2021,
Croatia,83.2,2023,83.2,2023,3321000,2021,
Cuba,73.2,2022,73.2,2022,7810000,2021,
Curacao,68.1,2017,68.1,2017,111956,2021,
Cyprus,91.2,2023,91.2,2023,809900,2021,
Czech Republic,86,2023,86,2023,9130000,2021,
Democratic Republic of the Congo,27.2,2022,27.2,2022,21102720,2021,
Denmark,98.9,2021,98.8,2023,5841000,2021,
Djibouti,65,2022,65,2022,759000,2021,
Dominica,83.4,2022,83.4,2022,58320,2021,
Dominican Republic,85.2,2021,84.4,2022,9350000,2021,
East Timor,40.8,2022,40.8,2022,507000,2021,
Ecuador,72.7,2023,72.7,2023,13680000,2021,
Egypt,72.2,2022,72.2,2022,79200000,2021,
El Salvador,62.9,2022,62.9,2022,3969000,2021,
Equatorial Guinea,66.8,2022,66.8,2022,864000,2021,
Eritrea,26.6,2022,26.6,2022,792000,2021,
